DATE,PRICE
3/1/93,168.9
4/1/93,158.7
5/1/93,148.5
6/1/93,144
7/1/93,143.3
8/1/93,146.4
9/1/93,149.6
10/1/93,147.9
11/1/93,150.8
12/1/93,155.5
1/1/94,159.7
2/1/94,153.8
3/1/94,152.5
4/1/94,147.8
5/1/94,149.2
6/1/94,153.8
7/1/94,153.7
8/1/94,157.6
9/1/94,165.7
10/1/94,164.6
11/1/94,172.5
12/1/94,172
1/1/95,166
2/1/95,162.8
3/1/95,164.5
4/1/95,164
5/1/95,165.2
6/1/95,159.3
7/1/95,167.6
8/1/95,171.1
9/1/95,173.4
10/1/95,169.9
11/1/95,161.7
12/1/95,157.4
1/1/96,154
2/1/96,154.2
3/1/96,152.1
4/1/96,151.6
5/1/96,158.3
6/1/96,155.8
7/1/96,154
8/1/96,157.4
9/1/96,166.7
10/1/96,160.1
11/1/96,157.9
12/1/96,155.3
1/1/97,154.5
2/1/97,158.8
3/1/97,163.6
4/1/97,159.1
5/1/97,158.2
6/1/97,162.7
7/1/97,162.6
8/1/97,161.6
9/1/97,162.6
10/1/97,156
11/1/97,157.9
12/1/97,153.6
1/1/98,152.9
2/1/98,153.3
3/1/98,151.3
4/1/98,152.4
5/1/98,151.4
6/1/98,151.1
7/1/98,159.1
8/1/98,167.6
9/1/98,170
10/1/98,156.7
11/1/98,160.9
12/1/98,161.1
1/1/99,161.6
2/1/99,169.3
3/1/99,173
4/1/99,170.2
5/1/99,179.1
6/1/99,196.9
7/1/99,208.3
8/1/99,202.1
9/1/99,177.8
10/1/99,158.7
11/1/99,159.5
12/1/99,160.8
1/1/00,162
2/1/00,162.2
3/1/00,166
4/1/00,167.2
5/1/00,156.6
6/1/00,155.3
7/1/00,154
8/1/00,152.6
9/1/00,156.4
10/1/00,155.1
11/1/00,152.6
12/1/00,150.9
1/1/01,147
2/1/01,145.6
3/1/01,148
4/1/01,147.1
5/1/01,165.1
6/1/01,166.5
7/1/01,156.8
8/1/01,163.8
9/1/01,161.2
10/1/01,151.6
11/1/01,150.3
12/1/01,148
1/1/02,148.3
2/1/02,151.5
3/1/02,160.3
4/1/02,159.3
5/1/02,152.3
6/1/02,153.3
7/1/02,150.6
8/1/02,152.4
9/1/02,149.7
10/1/02,149.3
11/1/02,147.3
12/1/02,146.3
1/1/03,145.9
2/1/03,147.2
3/1/03,146
4/1/03,145.6
5/1/03,145.4
6/1/03,148.9
7/1/03,162.3
8/1/03,166.3
9/1/03,193.9
10/1/03,203.9
11/1/03,206.3
12/1/03,192.1
1/1/04,174.4
2/1/04,202.5
3/1/04,218.5
4/1/04,222.6
5/1/04,224.4
6/1/04,200.8
7/1/04,178.6
8/1/04,203.1
9/1/04,208.3
10/1/04,189
11/1/04,173.9
12/1/04,185.5
1/1/05,187
2/1/05,191.5
3/1/05,187.8
4/1/05,183.8
5/1/05,174
6/1/05,186.3
7/1/05,181.9
8/1/05,176.8
9/1/05,200.1
10/1/05,211.6
11/1/05,180.7
12/1/05,180.2
1/1/06,181.9
2/1/06,179.6
3/1/06,180.2
4/1/06,182.4
5/1/06,176.3
6/1/06,173.3
7/1/06,173.5
8/1/06,166.8
9/1/06,166.5
10/1/06,161.7
11/1/06,164.2
12/1/06,165.2
1/1/07,168
2/1/07,169.4
3/1/07,170.2
4/1/07,172.8
5/1/07,177.1
6/1/07,179.9
7/1/07,181.5
8/1/07,181.1
9/1/07,180.7
10/1/07,177.2
11/1/07,177.5
12/1/07,177.2
1/1/08,174.3
2/1/08,173
3/1/08,173.3
4/1/08,173.2
5/1/08,177.8
6/1/08,179.3
7/1/08,176.2
8/1/08,174.9
9/1/08,178.5
10/1/08,175.3
11/1/08,172.5
12/1/08,168.6
1/1/09,165.9
2/1/09,165.3
3/1/09,163.9
4/1/09,160.9
5/1/09,161.5
6/1/09,160.3
7/1/09,163
8/1/09,164.4
9/1/09,166.7
10/1/09,163.9
11/1/09,164.1
12/1/09,164.9
1/1/10,164.3
2/1/10,168.3
3/1/10,172.9
4/1/10,188
5/1/10,195.7
6/1/10,186.3
7/1/10,181.5
8/1/10,177.2
9/1/10,174.1
10/1/10,171.9
11/1/10,169.1
12/1/10,170.6
1/1/11,174.1
2/1/11,175.7
3/1/11,175
4/1/11,177.7
5/1/11,168.7
6/1/11,167.2
7/1/11,165.2
8/1/11,165.8
9/1/11,168.6
10/1/11,173.2
11/1/11,171.1
12/1/11,173.2
1/1/12,175.9
2/1/12,180.7
3/1/12,185.8
4/1/12,189.2
5/1/12,189.4
6/1/12,189.8
7/1/12,189.8
8/1/12,193
9/1/12,197.2
10/1/12,192.6
11/1/12,192
12/1/12,193.4
1/1/13,198.2
2/1/13,200.7
3/1/13,204.7
4/1/13,207.9
5/1/13,206.8
6/1/13,200
7/1/13,193.9
8/1/13,197.2
9/1/13,197.1
10/1/13,197.9
11/1/13,196
12/1/13,194.3
1/1/14,195.1
2/1/14,195
3/1/14,197.5
4/1/14,197.2
5/1/14,200.9
6/1/14,200.1
7/1/14,205.3
8/1/14,214.7
9/1/14,210.9
10/1/14,211.6
11/1/14,212
12/1/14,208.6
1/1/15,206
2/1/15,202.8
3/1/15,203.7
4/1/15,203.4
5/1/15,200.1
6/1/15,198.9
7/1/15,197.6
8/1/15,194.9
9/1/15,194.2
10/1/15,197
11/1/15,195.1
12/1/15,193.1
1/1/16,193.2
2/1/16,190.2
3/1/16,190.7
4/1/16,191.8
5/1/16,191
6/1/16,194
7/1/16,196.8
8/1/16,198.2
9/1/16,194.6
10/1/16,191
11/1/16,187.4
12/1/16,188.9
1/1/17,189.9
2/1/17,192.4
3/1/17,198.6
4/1/17,201.7
5/1/17,202.5
6/1/17,200.2
7/1/17,198.6
8/1/17,202.1
9/1/17,206.2
10/1/17,218.7
11/1/17,220.9
12/1/17,218.1
1/1/18,219.8
2/1/18,227.9
3/1/18,236.5
4/1/18,236.6
5/1/18,239.9
6/1/18,243.1
7/1/18,239.4
8/1/18,230.5
9/1/18,230.1
10/1/18,229
11/1/18,217.4
12/1/18,212.5
1/1/19,211.9
2/1/19,212.8
3/1/19,212.6
4/1/19,213.1
5/1/19,208.3
6/1/19,203.9
7/1/19,199.5
8/1/19,194.7
9/1/19,193.6
10/1/19,194.6
11/1/19,194.4
12/1/19,194.9
1/1/20,194.7
2/1/20,196.4
3/1/20,204.4
4/1/20,202
5/1/20,197.8
6/1/20,210.7
7/1/20,228.7
8/1/20,254.3
9/1/20,278.3
10/1/20,269.9
11/1/20,259.2
12/1/20,254.8
1/1/21,276.5
2/1/21,296.8
3/1/21,326.7
4/1/21,370.8
5/1/21,417
6/1/21,471.3
7/1/21,427.656
8/1/21,327.418
9/1/21,261.24
10/1/21,272.67
11/1/21,283.574
12/1/21,291.02
1/1/22,343.634
2/1/22,371.006
3/1/22,397.233
4/1/22,370.02
5/1/22,355.223
6/1/22,346.795
7/1/22,323.945
8/1/22,321.463
9/1/22,319.369
10/1/22,311.089
11/1/22,298.745
12/1/22,293.188
1/1/23,289.258
2/1/23,284.658
3/1/23,281.919
4/1/23,280.396
5/1/23,278.084
6/1/23,275.952
7/1/23,273.847
8/1/23,277.662
9/1/23,277.906
